tool_id,method_or_policy_basis,source_ids,owner_role,reviewer_role,review_cadence,implementation_gate
cagr-calculator,CAGR = ending / beginning raised to 1 / years minus 1,method-finance-v1,domain-engine-owner,domain-engine-reviewer,annual,Preserve current tests and irregular-cash-flow limitation
xirr-calculator,Rate solves dated discounted cash flows to zero using declared day-count and convergence rules,method-finance-v1,finance-method-owner,finance-method-reviewer,annual,Positive and negative flow requirement; cross-product fixtures; no-solution state
loan-comparison,Compare EMI nominal annual interest rate fees total cost rate type reset and prepayment assumptions; do not calculate APR without dated fee cash flows,rbi-emi-reset-faq;method-finance-v1,finance-method-owner,finance-method-reviewer,quarterly,No lender ranking or scraped rates; full-cost comparison fixtures; APR terminology boundary
amazon-fees-calculator,Effective-dated Amazon category-aware verified closing examples by price/fulfilment with referral and shipping overrides,amazon-india-fees-2026,marketplace-policy-owner,marketplace-policy-reviewer,weekly-monitor-monthly-review,Versioned snapshot; effectiveTo resolver; changed-page review; stale calculation block; category override; signed golden fixtures
flipkart-fees-calculator,Effective-dated Flipkart fixed bands with category commission and payment-mode collection dashboard overrides,flipkart-seller-fees-2026,marketplace-policy-owner,marketplace-policy-reviewer,weekly-monitor-monthly-review,Versioned snapshot; effectiveTo resolver; seller-dashboard caveat; stale calculation block; signed golden fixtures
marketplace-margin-calculator,Sale proceeds - product platform payment shipping return and tax costs,method-business-metrics-v1,domain-engine-owner,ecommerce-domain-reviewer,annual,Cost inclusion checklist and contribution reconciliation
roas-calculator,Attributed revenue / ad spend plus contribution ROAS and break-even scenario,method-business-metrics-v1,domain-engine-owner,ecommerce-domain-reviewer,annual,Attributed-versus-collected revenue distinction and zero-spend handling
cod-cost-calculator,Expected COD contribution includes collection forward freight RTO return loss and cash-cycle assumptions,method-business-metrics-v1,domain-engine-owner,ecommerce-domain-reviewer,annual,All rates user-entered; RTO probability bounds; expected-value label
ctc-calculator,Configurable employer compensation components with payroll-policy assumptions,epfo-faq-2026;labour-codes-faq-2026;method-business-metrics-v1,payroll-policy-owner,payroll-labour-reviewer,quarterly,Named payroll reviewer; editable policy assumptions; no universal structure
in-hand-salary-calculator,CTC to periodic take-home using supported employee deductions and estimated TDS,it-individual-ay-2026-27;it-tds-transition-2026;epfo-faq-2026,payroll-policy-owner,payroll-labour-reviewer,monthly,Named payroll and CA reviewers; state and regime required
pf-calculator,EPF EPS and supported employer components resolved by applicable wage and establishment facts,epfo-faq-2026,payroll-policy-owner,payroll-labour-reviewer,quarterly,Named payroll reviewer; effective policy; exception handling
gratuity-calculator,Eligibility event + service + applicable last-drawn wage method and cap,labour-codes-faq-2026,payroll-policy-owner,payroll-labour-reviewer,quarterly,Named labour reviewer; employment type; effective law version
esop-calculator,Grant vesting exercised/allotted shares exercise-date FMV ownership dilution and separate tax-event scenarios,it-perquisites-2026;indiacode-companies-section-62;startup-india-playbook-2026,corporate-policy-owner,corporate-legal-reviewer,quarterly,Named legal and tax reviewers; exercised shares/date required for tax illustration; FMV and plan-term limitations; signed golden fixtures
invoice-generator,User-authored non-GST commercial document with item totals and explicit document status,method-documents-v1,document-standards-owner,document-standards-reviewer,annual,No GST or filing claim; PDF and print verification
quotation-generator,User-authored quotation with validity line items terms and explicit non-invoice label,method-documents-v1,document-standards-owner,document-standards-reviewer,annual,Quotation label and conversion audit tests
gst-invoice-generator,Existing line-item GST arithmetic and supported Rule 46 particulars,cbic-cgst-rule-46;gst-cbic-notification-09-2025-ctr;gst-council-56th-meeting-2025,gst-policy-owner,ca-tax-reviewer,quarterly,Existing live scope only; new scope requires named CA sign-off
url-qr,Validated URL payload rendered locally as QR,whatwg-url-standard;denso-qr-overview,technical-standards-owner,security-reviewer,annual,Scheme validation; no URL fetch; scan-quality tests
business-card-generator,User-authored card layout with optional validated QR and local assets,method-documents-v1;denso-qr-overview,document-standards-owner,document-standards-reviewer,annual,Print safe area; accessible preview; asset limits
invoice-number-generator,User-defined prefix financial year and sequence under declared local or cloud mode,method-documents-v1;cbic-cgst-rule-46,document-standards-owner,document-standards-reviewer,quarterly,Local collision warning; atomic storage required for cross-device mode
business-name-generator,AI produces editable candidates from a structured naming brief without availability claims,method-ai-v1;meity-dpdp-rules-2025,ai-product-owner,ai-safety-reviewer,quarterly,Network notice; structured output; trademark/domain non-verification
pricing-assistant,AI explains deterministic pricing scenarios and may not alter numeric engine output,method-ai-v1;method-business-metrics-v1;meity-dpdp-rules-2025,ai-product-owner,ai-safety-reviewer,quarterly,Deterministic numeric authority; prompt-injection and fabrication evaluations
startup-cost-estimator,User-owned deterministic cost worksheet with AI suggestions for missing categories,method-ai-v1;method-startup-metrics-v1;meity-dpdp-rules-2025,ai-product-owner,ai-safety-reviewer,quarterly,No invented permit or market costs; source-required factual claims
business-plan-assistant,AI drafts structured user-reviewable plan sections from supplied facts and assumptions,method-ai-v1;meity-dpdp-rules-2025,ai-product-owner,ai-safety-reviewer,quarterly,No fabricated market statistics; user approval before export
upi-standee,Validated UPI deep-link payload rendered locally with user verification warning,npci-upi-deep-linking;denso-qr-overview,technical-standards-owner,security-reviewer,annual,No ownership verification claim; encoding and scan tests
letterhead-generator,User-authored local document with validated logo and PDF or print output,method-documents-v1,document-standards-owner,document-standards-reviewer,annual,Local asset processing; print verification; no authenticity claim
payment-receipt-generator,User-authored receipt recording issuer declaration and totals; not bank settlement proof,method-documents-v1,document-standards-owner,document-standards-reviewer,annual,Settlement disclaimer; local processing; PDF and print tests
