tool_id,name,canonical_slug,primary_category,secondary_categories,tool_kind,execution_mode,risk_tier,current_status,target_phase,policy_family,reviewer_role
roas-calculator,ROAS Calculator,roas-calculator,ecommerce,business,calculator,local-only,B,planned,2,business-methods,ecommerce-domain-reviewer
cod-cost-calculator,COD Cost Calculator,cod-cost-calculator,ecommerce,business,worksheet,local-only,B,planned,2,business-methods,ecommerce-domain-reviewer
ctc-calculator,CTC Calculator,ctc-calculator,hr-salary,business,worksheet,local-only,D,planned,4,payroll-labour,payroll-labour-reviewer
in-hand-salary-calculator,In-hand Salary Calculator,in-hand-salary-calculator,hr-salary,gst-tax,worksheet,local-only,D,planned,4,payroll-labour,payroll-labour-reviewer
pf-calculator,PF Calculator,pf-calculator,hr-salary,gst-tax,calculator,local-only,D,planned,4,payroll-labour,payroll-labour-reviewer
gratuity-calculator,Gratuity Calculator,gratuity-calculator,hr-salary,gst-tax,calculator,local-only,D,planned,4,payroll-labour,payroll-labour-reviewer
esop-calculator,ESOP Calculator,esop-calculator,hr-salary,startup,worksheet,local-only,D,beta,5,corporate-scenarios,corporate-legal-reviewer
invoice-generator,Invoice Generator,invoice-generator,generators,business,generator,local-only,B,planned,3,document-standards,document-standards-reviewer
quotation-generator,Quotation Generator,quotation-generator,generators,business,generator,local-only,B,planned,3,document-standards,document-standards-reviewer
gst-invoice-generator,GST Invoice Generator,gst-invoice-generator,generators,gst-tax,generator,local-only,D,live,1,gst,ca-tax-reviewer
url-qr,QR Code Generator,url-qr,generators,,generator,local-only,B,live,3,technical-standards,security-reviewer
business-card-generator,Business Card Generator,business-card-generator,generators,business,generator,local-only,B,planned,3,document-standards,document-standards-reviewer
invoice-number-generator,Invoice Number Generator,invoice-number-generator,generators,business,generator,local-only,B,planned,3,document-standards,document-standards-reviewer
business-name-generator,Business Name Assistant,business-name-generator,ai-tools,startup,ai-assisted,network-required,B,beta,6,ai-governance,ai-safety-reviewer
pricing-assistant,Pricing Assistant,pricing-assistant,ai-tools,business,ai-assisted,network-required,B,beta,6,ai-governance,ai-safety-reviewer
startup-cost-estimator,Startup Cost Estimator,startup-cost-estimator,ai-tools,startup,ai-assisted,network-required,B,beta,6,ai-governance,ai-safety-reviewer
business-plan-assistant,Business Plan Assistant,business-plan-assistant,ai-tools,startup,ai-assisted,network-required,B,beta,6,ai-governance,ai-safety-reviewer
upi-standee,UPI Standee Generator,upi-standee,generators,business,generator,local-only,B,live,1,technical-standards,security-reviewer
letterhead-generator,Letterhead Generator,letterhead-generator,generators,business,generator,local-only,B,live,1,document-standards,document-standards-reviewer
payment-receipt-generator,Payment Receipt Generator,payment-receipt-generator,generators,business,generator,local-only,B,live,1,document-standards,document-standards-reviewer
